Year,UK Adult Population,Disposable income,Online sales as % of total UK retail sales,% of population that participated in online shopping,Gambling GGY,Gambling GGY - In Person,Gambling GGY - Online,TNL GGY,TNL GGY - Retail,TNL GGY - Digital,TNL GGY - DBG,TNL GGY - Online IWGs,TNL GGY - Scratchcards,Total gambling participation,Gambling (ex. TNL) participation,TNL participation,TNL and not gambling,TNL and gambling,ATGS - All respondents,ATGS - Gambled in the last 12 months,ATGS - Didn't gamble in the last 12 months,There are too many opportunities for gambling nowadays,Gambling is dangerous for family life,Gambling should be discouraged,People should have the right to gamble whenever they want,Mostpeople who gamble do so sensibly,It would be better if gambling was banned alltoether,Gambling livens up life,"On balance, gambling is good for society",Agree that gambling is conducted fairly and can be trusted - All respondents,Agree that gambling is conducted fairly and can be trusted - Gambled in the last 12 months,Agree that gambling is conducted fairly and can be trusted - Not gambled in the last 12 months,Agree that gambling is associated with criminal activity - All respondents,Agree that gambling is associated with criminal activity - Gambled in the last 12 months,Agree that gambling is associated with criminal activity - Not gambled in the last 12 months
2008,50.886632,1051335,0.049,0.53,10829.85815,7110.353236,3719.504915,2458.108142,2195.732951,262.3751905,2016.108501,47.10439461,394.8952458,37.14724136,,,,,,,,,,,,,,,,,,,,,
2009,51.27825,1077065,0.062,0.615,9769.507826,6986.583042,2782.924784,2598.789781,2279.831979,318.9578019,2116.081849,51.97063468,430.7372975,37.4331225,,,,,,,,,,,,,,,,0.5,0.6,0.3,0.41,0.39,0.47
2010,51.706249,1098719,0.073,0.62,9288.577101,7221.735279,2066.841822,2768.65623,2385.679607,382.9766233,2251.889702,56.16441007,460.6021179,37.74556177,23.94397069,,,,22.33,22.85,20.95,,,,,,,,,0.48,0.59,0.31,0.37,0.36,0.39
2011,52.168942,1119344,0.083,0.655,10495.89654,7659.462157,2836.434383,3076.025252,2596.335694,479.6895588,2465.53984,67.10886152,543.3765513,35.99656998,23.2954391,,,,,,,,,,,,,,,0.49,0.59,0.31,0.37,0.34,0.41
2012,52.49131,1167913,0.093,0.675,12996.48696,8072.617601,4923.869363,3185.150003,2629.371098,555.7789056,2481.698638,73.42598968,630.0253753,34.1193515,22.5712633,,,,,,,,,,,,,,,0.49,0.57,0.31,0.4,0.37,0.45
2013,53.189228,1211910,0.104,0.72,12009.84609,8041.287179,3968.558915,3051.995449,2475.532165,576.4632845,2340.094874,66.88290651,645.0176687,37.66957989,23.22596289,,,,,,,,,,,,,,,0.42,0.51,0.3,0.4,0.38,0.43
2014,52.79844,1255665,0.113,0.735,12559.03844,8310.882342,4248.156101,3237.382104,2577.216355,660.1657491,2387.971564,83.40481494,766.0057255,34.24818683,22.93798893,26.7512096,15.4410117,11.3101979,,,,,,,,,,,,0.41,0.49,0.29,0.41,0.4,0.43
2015,53.579245,1322539,0.125,0.745,13372.31299,8211.907966,5160.405025,3334.154281,2589.759085,744.3951956,2387.064254,112.8015974,834.2884298,33.75492435,24.11066025,24.6464527,15.0021886,9.6442641,,,,,,,,,,,,0.39,0.45,0.27,0.4,0.37,0.44
2016,53.971222,1346016,0.147,0.775,13783.19743,8075.171191,5708.026241,2982.137121,2281.491904,700.6452166,2057.525612,111.8804868,812.7310223,30.76359654,22.39467417,22.3033863,13.93446393,8.36892237,21.5,22.6,19.6,0.78,0.69,0.55,0.67,0.41,0.23,0.32,0.15,0.34,0.38,0.29,0.39,0.36,0.42
2017,54.232656,1382729,0.163,0.765,14439.93457,8010.16232,6429.772255,3023.309189,2257.525255,765.7839339,2124.396935,113.0318298,785.8804242,30.83316844,20.99378259,22.90218391,13.06279806,9.839385855,20.8,21.7,19.3,0.8,0.71,0.57,0.64,0.39,0.25,0.28,0.15,0.33,0.38,0.27,0.41,0.39,0.43
2018,54.524104,1452493,0.18,0.78,14329.3887,7861.430988,6467.957709,3078.279571,2245.782506,832.4970647,2096.597693,138.4101069,843.2717708,32.08892376,22.25064228,23.68312557,13.84484408,9.838281483,20.5,21.7,18.8,0.79,0.71,0.58,0.62,0.36,0.25,0.28,0.13,0.3,0.34,0.25,0.38,0.36,0.41
2019,54.835826,1489990,0.192,0.825,14449.05424,7455.691975,6993.362265,3425.289279,2299.733891,1125.555388,2394.079815,183.3691481,847.8403151,32.5203656,,32.43921758,19.46353055,12.97568703,#N/A,#N/A,#N/A,0.82,0.73,0.62,0.6,0.36,0.29,0.26,0.13,0.29,0.32,0.25,0.43,0.41,0.46
2020,55.16682118,1511398.419,,,15329.64342,7687.866999,7641.776425,3239.530269,1768.562489,1470.96778,2348.335176,239.6417906,651.553303,30.89296337,,32.64441676,19.58665006,13.0577667,,,,,,,,,,,,,,,,,
2021,55.41310163,1552924.938,,,15751.03016,7481.24644,8269.783724,3511.424947,1978.382664,1533.042283,2534.25678,249.7546193,727.4135478,30.45642239,,32.41525906,19.44915543,12.96610362,,,,,,,,,,,,,,,,,
2022,55.65938208,1597204.229,,,16193.05951,7289.388272,8903.671241,3533.55719,1925.473797,1608.083393,2571.780752,260.0898103,701.6866281,30.01477514,,32.08097879,19.24858727,12.83239151,,,,,,,,,,,,,,,,,
2023,55.90566254,1643817.6,,,16647.30432,7106.265889,9541.038432,3456.654021,1692.014273,1764.639748,2546.599674,283.446927,626.6074205,29.56802162,,31.87020195,19.12212117,12.74808078,,,,,,,,,,,,,,,,,
2024,56.15194299,1692715.79,,,17111.10282,6929.975748,10181.12707,3787.768543,1606.798154,2180.970389,2774.476169,363.8912175,649.401157,29.11616182,,32.60512425,19.56307455,13.0420497,,,,,,,,,,,,,,,,,
2025,56.39822344,1743950.902,,,17583.26794,6759.668929,10823.59901,4245.688241,1645.585363,2600.102878,3087.354921,458.9437748,699.3895443,28.65919574,,34.34041141,20.60424684,13.73616456,,,,,,,,,,,,,,,,,
2026,56.56241041,1797686.811,,,18037.93879,6576.851228,11461.08756,4525.544285,1630.775945,2894.76834,3281.245041,541.0568266,703.2424179,28.15625799,,35.12354839,21.07412903,14.04941936,,,,,,,,,,,,,,,,,
2027,56.80869086,1854001.196,,,18525.80618,6417.77376,12108.03242,4688.603947,1572.650677,3115.953269,3404.76507,597.0520694,686.7868067,27.68993041,,35.14214745,21.08528847,14.05685898,,,,,,,,,,,,,,,,,
2028,56.97287783,1912816.379,,,18990.59049,6242.188612,12748.40188,4776.308314,1514.09461,3262.213705,3461.753242,643.0551681,671.4999044,27.17933325,,35.11860449,21.07116269,14.04744179,,,,,,,,,,,,,,,,,
2029,57.13706479,1973940.065,,,19885.78142,6374.405217,13511.3762,4870.133158,1465.040822,3405.092336,3522.577145,683.660225,663.8957878,27.25765986,,35.196767,21.1180602,14.0787068,,,,,,,,,,,,,,,,,
2030,57.30125176,2037191.324,,,20815.14123,6531.05741,14284.08382,4939.644039,1424.30848,3515.335559,3567.547891,712.4164524,659.6796955,27.33598647,,35.33482018,21.20089211,14.13392807,,,,,,,,,,,,,,,,,
2031,57.54753221,2102459.326,,,21808.49995,6733.477905,15075.02205,5014.858884,1388.390843,3626.468041,3621.138697,736.2949029,657.4252838,27.45347638,,35.43929573,21.26357744,14.17571829,,,,,,,,,,,,,,,,,
2032,57.71171918,2169691.97,,,22804.48123,6937.773898,15866.70733,5088.706845,1350.456764,3738.250082,3675.841655,758.4420263,654.4231637,27.53180299,,35.47850033,21.2871002,14.19140013,,,,,,,,,,,,,,,,,
